country,total residential space,electricity residential space,total residential water,electricity residential water,total residential cooking,electricity residential cooking,total residential,Derived heat residential,Thermal uses residential,electricity residential,total services space,electricity services space,total services water,electricity services water,total services cooking,electricity services cooking,total services,electricity services,Derived heat services,Thermal uses services,total road,electricity road,total two-wheel,total passenger cars,electricity passenger cars,total other road passenger,electricity other road passenger,total light duty road freight,electricity light duty road freight,total heavy duty road freight,total rail,electricity rail,total rail passenger,electricity rail passenger,total rail freight,electricity rail freight,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,district heat share,total international navigation
ES,72.08970006391303,10.501546124388117,39.28069322280724,7.088533829693127,18.920457865375933,8.953558262891741,175.424462805567,0.0,131.92588494933315,72.09600134512925,37.57162031987645,7.1876765771531375,14.242007851083313,5.233660369069963,20.217086923069992,11.160207293064667,121.32596952548033,73.18042671713673,0.0,81.22126002542247,312.13733850899155,0.04457666877933535,6.399355910096301,191.14756637282875,0.020307371062565128,11.884288963094985,0.014448971528607881,24.10128111189423,0.008159255089722336,78.60484615107725,6.587780119587837,4.848058232139515,5.749900210102493,4.3061603172891925,0.8378799094853445,0.5418979148503231,64.56237930872548,1.0615451619606964,20.73667791045944,43.82570139826605,0.33805039950932897,0.7234947624513675,21.07472830996877,44.549196160717415,5.177777669531744,0.0,86.3261111111111
FI,39.7143974828916,7.530252334242834,9.019914853492716,3.5409071156283543,2.9557492827294896,2.881317838578838,58.32238563357039,17.97630994617058,51.7793935344758,20.916785714053297,20.19373872022871,6.060930141915536,2.5927307118952476,1.059340120326298,2.808690995842043,2.7653623207434195,33.057413769878785,17.43002327928422,11.752595976796323,25.883234197962693,44.985645524409634,0.006193908939198164,0.5138383405120925,26.365710886758293,0.0029786114334281245,3.537661184887609,0.0010109996657041238,5.918442628141882,0.0009428504590731533,8.649992484109758,0.9636107125537737,0.6999964579120397,0.5744281153516487,0.520560135894602,0.389182597202125,0.17943632201743753,7.826099541133596,0.32907903701198726,1.4819694516487738,6.344130089484822,0.10877493829202128,0.22030409871996598,1.5907443899407951,6.564434188204788,1.5828188281019266,0.38,3.416388888888889
FR,246.5641211605085,27.66389814535177,71.30499496833306,20.07607068421868,40.0032644296484,19.71873525376107,438.2255286584927,16.026946317300844,358.5105326283999,152.44109847372178,129.3000790496399,33.29256416927419,26.11283524836081,12.915558545938506,29.30550887122552,17.38809971879519,267.5516458609117,146.85156037074321,9.505294987829313,198.6922597248212,486.90108624519297,0.36085622555150526,6.500851414427555,261.9554406429565,0.19760458719942167,22.296139177165553,0.05228420678698851,94.41943213565143,0.09884675817119024,101.72922287499199,11.91948550300967,10.048651150435273,10.20581972553017,8.655261329684977,1.7136657774795014,1.3933898207502957,73.29757080132478,4.799671126903195,19.36338771344549,53.9341830878793,1.8100871534135436,2.989583973489651,21.173474866859035,56.92376706136895,5.504173784523979,0.04582217041178214,18.828055555555558
GB,265.40119876431595,28.286678729381986,78.9665458089014,12.94275039010396,21.79430348348413,4.063730404443365,424.85927194560554,0.6038886958115648,366.55557467270694,108.15690964788685,93.4810270660629,13.662697678291028,22.827064047917574,9.566049871759754,26.482356431630468,10.812769149995349,201.3021301977365,93.582376580195,4.720554046284139,146.8421091300889,444.1438392888347,0.19454362366796768,2.052876614740213,265.05659884595906,0.0757338741686595,13.216587717195106,0.03245940908508395,68.42386246010736,0.04431434391882912,95.39391365083301,11.763879018657473,4.379155314627264,10.474637298713176,4.079756428355576,1.2892417199442994,0.29939888627168776,132.45029973150528,6.469717412751135,9.725834533011017,122.72446519849426,0.7095943297937891,5.760123082957345,10.435428862804807,128.4845882814516,7.312222895500165,0.010370990968749492,28.214166666666664
GR,28.45619856231125,0.9468718478140353,8.47232796730177,3.6952235853092446,6.630342332526636,4.76646515964111,51.13211814371991,0.5813888888888898,45.16902347241723,17.53803555919029,5.3428639868701575,3.034533865288826,3.4401910297930858,2.7938737896032224,3.2104947056942774,2.3194986271677016,21.81339011624165,17.950624755255248,0.0,13.491039242767618,57.85960261579684,0.00038047414374885034,3.3547416666666665,28.263409612949633,0.0003165186343780196,5.060708112881842,0.0,8.774860892563503,0.0,12.405882330735201,0.8671342933272913,0.363040722069988,0.7982104175898197,0.3544967514878082,0.06892387573747172,0.008543970582179835,11.473404023893018,0.05325193864904622,1.8751144126496528,9.598289611243365,0.03702287825911101,0.016229060389935213,1.912137290908764,9.6145186716333,6.213597074215852,0.0099111535511262,20.736944444444447
HR,17.92478912520124,0.17451668103830856,4.275770462659899,0.9836598009995372,2.472284641030704,1.3572735992995464,28.12157556307497,1.3908254187123625,25.41104147058591,6.202026342815629,3.219524427404997,0.8372953160501726,1.023320073538628,0.557698179260447,1.0996348941088259,0.7011499937434658,8.62396742422121,5.403823480640753,0.38610891392254443,5.780062283942173,22.08634181486972,0.0012478938612532704,0.09023475969988484,14.504128388701432,0.0006806336637168285,1.9273829846981856,0.00032036775893884667,1.3558822180189456,0.00017599724559506536,4.208713463751266,0.42750627454198953,0.21389171335011645,0.2928062392445246,0.14900055888851685,0.13470003529746488,0.0648911544615996,1.4734492910342676,0.004063023004988872,0.12220026657467514,1.3512490244595923,0.0022395666776680147,0.0018234563273208581,0.12443983325234315,1.3530724807869132,0.48639674466446065,0.0569692674750872,0.0
HU,48.30997183946488,0.30428410487866525,9.329604556438055,2.0213871678831397,6.015103635083937,2.1837028308876434,69.26683368738745,5.4447245030938065,63.729882403444805,10.838989352052819,12.72480544122344,0.5134377268270058,2.8451249540793873,0.2286150225012482,3.1736103335007497,0.3736335273292969,25.42787432512927,7.948351920612254,1.6655562532804746,19.129588387439757,46.47312457558148,0.006717642129059104,0.21533818356196166,22.972437116936863,0.001773416538710686,4.391340138837394,0.00469688253194991,5.446654559373463,0.00016233557662141424,13.447354576871799,1.7025232534483947,1.1308603405525368,1.362617370890657,0.945085890872484,0.3399058825577377,0.18577444968005286,1.9844640188607345,0.04748042558370688,0.0,1.9844640188607345,0.03233327907836303,0.015147146505343847,0.03233327907836303,1.9996111653660782,0.06999954035459481,0.07928755886373991,0.0
IE,18.941825945379392,1.244743191028374,6.452026465914371,0.9425826133959547,1.8894732369160032,1.09560252772589,31.537513010798776,0.0,27.304478938696434,7.881000804135796,5.694673986829084,0.6204190665091204,1.7458062868500364,0.3187084231376829,1.9064060954540034,0.6084858434996581,14.463875988615662,6.733333430098542,0.0,9.62904294721184,42.643487773841436,0.012613234394618778,0.048480997442924285,25.154813335832927,0.011400530305903113,2.4202964207783046,0.00016848338380500352,5.030539009265971,0.00079073325477803,9.98935801052131,0.4619745721530348,0.041110899086649354,0.44863253340360476,0.041110899086649354,0.013342038749429982,0.0,9.600947849203394,0.24827080728843004,0.018085014439999852,9.582862834763393,0.06988254333578814,0.17838826395264193,0.08796755777578799,9.761251098716036,0.8300111102434349,0.0,1.8433333333333335
IT,226.02152392250932,0.8936165235482352,63.611495052416544,2.5460751180915744,35.197195317017474,6.1229510132817095,377.9106742102046,10.564722222222196,332.6692542235801,66.18687013375856,75.47141941512753,15.880689100744206,20.18896726226846,6.894881435637312,20.222509538709293,4.069289249513875,180.55786875054804,91.97700820202196,2.7658333333333234,126.08954018881133,390.9766417410962,0.17899945292750222,12.997672545947164,244.84507260673706,0.05283738193662179,25.908580302069076,0.06259706083115131,47.223841854948084,0.004029571590043644,60.00147443139482,10.643322957118835,10.383045523036209,9.242845649644817,9.02400668094389,1.4004773074740176,1.3590388420923185,43.507325106469004,1.4282110566490362,11.217202841663063,32.29012226480594,0.2401641789476237,1.1880468777014126,11.457367020610688,33.478169142507355,10.83971574932374,0.029057874678195927,22.09611111111111
LT,10.51092501236889,0.10118425897611763,2.5266750940294256,0.10749197005766843,1.2992120321555716,0.8035596828237634,15.870006650603015,4.9978915994628395,14.338451677453932,2.6601058999971547,3.3685572783863815,0.2390909366165246,0.6625895361378131,0.2772498331328129,0.6740068954286192,0.5686413324580212,6.672488962160076,3.0717712721561465,2.0271489950528028,4.727682975051393,19.427545915597072,0.07303639141091565,0.04481395387586503,12.233201621104126,0.0006902716889258908,0.5388156928989165,0.06585351105772043,0.7550199663722835,0.0,5.855694681345884,0.6269109651688675,0.011068894930884421,0.12885306867332189,0.01106889493088442,0.4980578964955456,0.0,0.9373716077307183,0.011517183319799626,0.0,0.9373716077307183,0.007986247410127267,0.0035309359096723602,0.007986247410127267,0.9409025436403907,0.059445316911824246,0.36845646600909426,0.8872222222222221
LU,4.426132470623486,0.11844822435961966,0.5235329686235274,0.03168389619064845,0.21470988319069811,0.0859383380722163,5.751962693937894,0.0,5.1796654055612485,0.8999714910615396,2.521094503475634,0.3445745281501838,0.41594996817154156,0.15783034726467063,0.49974953578360043,0.267321336153348,4.636976246551743,1.9932252215534643,0.5875019897112732,3.5796339833831707,22.63554028418137,0.007939706541384192,0.027756244618450217,9.146363788050046,0.004734448744866008,0.3530607050399368,0.0005024598836050649,0.5254630992763253,0.0006200084407403625,12.582896447196612,0.18167261200289064,0.12278258769487098,0.16620936940232692,0.11347032200999123,0.01546324260056372,0.009312265684879752,1.7704275349130332,3.5579378803863566,0.0,1.7704275349130332,0.1538858396862467,3.40405204070011,0.1538858396862467,5.174479575613143,0.0,0.06707180147909898,0.0
LV,8.749760630065634,0.04555254042485048,2.1446493050163955,0.03493952261978791,0.6915023571147594,0.3736690863060749,12.860803637807807,3.918061472195782,11.586582265569962,1.7608847932084999,3.92038011013712,0.4051493551250664,0.6354243220034448,0.1834434093630902,0.6791244736903927,0.5121709450312506,6.834633895858814,2.728989530359298,1.451661091412088,5.25835870126548,11.207509094007955,0.04811223973797108,0.038556615167664,6.5480646416313455,0.0009133722369653331,0.8144483345783667,0.04714579370473513,0.8063674569088033,3.57715483320968e-05,3.0000720457217755,0.8279160718061983,0.04010354535998615,0.12206465525659177,0.04010354535998615,0.7058514165496066,0.0,1.2333809326402854,0.014920869893077822,0.0,1.2333809326402854,0.008978745736350524,0.005942124156727299,0.008978745736350524,1.2393230567970126,0.035278030328805984,0.31877360533229865,2.9405555555555556
ME,1.5733972350704861,0.15157916929255236,0.47870539636223397,0.13666854093388667,0.31427131669427755,0.20894169455667988,3.0913888888888885,,,1.2430555555555556,0.2398100595434691,0.0966142694036142,0.0701477028399449,0.04547456366883284,0.09688235010874047,0.07794166917648779,0.8086111111111112,0.6230555555555556,,,2.115,0.0,0.027700761781004873,1.2414714440276524,0.0,0.10530589185220653,0.0,0.24516559162480825,0.0,0.49535631071432806,0.02,0.02,0.015791083339413318,0.016157201896501047,0.004208916660586682,0.0038427981034989535,0.20496551079893321,0.014756711423289026,0.0,0.20496551079893321,0.0,0.014756711423289026,0.0,0.21972222222222224,0.034722222222222224,0.0,0.0
