Country_code,electricity,domestic aviation,road non-elec,rail non-elec,domestic navigation,services non-elec,residential non-elec,international aviation,international navigation,industrial processes,agriculture,LULUCF,waste management,other,indirect,industrial non-elec
ES,65.56964417,2.07973876,50.42907147,0.42172115999999993,5.33794344,3.8266134899999997,12.80797321,4.78959547,11.65859658,22.32199419,0.49939460999999996,-40.03140032,0.11325905,0.0,0.0,52.03950282999998
PL,228.03801954000002,0.06386425999999999,18.15023323,1.6206310000000002,0.15054248999999997,9.826012870000001,35.277593110000005,0.6217932400000001,1.2561966,18.83225877,2.5933773,-27.83077282,0.35005801000000003,0.0,0.0,59.03037135999999
SE,7.73665607,0.67304192,17.17784515,0.10140935999999999,0.57541324,2.8319933799999997,6.311030550000001,1.33493932,2.2278683,5.4637410200000005,0.17775165,-37.6737955,0.04385451,0.0,0.0,12.850798349999998
NL,40.02704563,0.08476853,26.470435549999998,0.090662,0.74262838,8.31010227,20.7305399,4.60435501,34.905607929999995,6.835762079999999,0.18315225000000002,6.04762763,0.0,0.0,0.68277477,19.455776630000006
BE,23.53655477,0.012303670000000001,19.73017281,0.22244965,0.36187378,4.285861779999999,20.47084953,3.1258868499999997,13.312504520000001,18.46300703,0.17892597000000002,-2.44526774,0.29949882,0.0,0.0,16.484510070000002
FI,16.453366539999998,0.38513699999999995,10.80776109,0.1911011,0.44128593,2.24988222,3.1456847399999996,1.00772976,1.83199523,3.6773602200000006,0.6473607599999999,-16.828608919999997,0.0,0.0,0.16621884,16.12832209
CZ,54.64545992,0.13943891000000003,6.17653816,0.6538584,0.0566124,10.023608759999998,18.37487029,0.5237209,0.0,15.646574399999999,1.29616511,-6.6469741,0.02083381,0.0,2.1217436199999997,56.66972096000002
DK,24.697024990000003,0.24805979,9.35673324,0.29674549,0.7151917900000001,1.45946189,4.98846675,1.73073572,3.01229527,1.2784159199999998,0.6185729999999999,4.74495996,0.020301950000000003,0.0,1.1631094599999998,5.178868869999991
PT,14.354840690000001,0.17781769,9.428537850000001,0.17718863999999998,0.26251703,0.74529485,1.63906273,1.53267365,1.3999681499999999,5.27415834,0.03386992,0.27788884,0.00707383,0.0,0.10645051999999999,10.552556480000003
RO,66.27988645,0.02486842,10.36554532,0.45189864999999996,1.15133704,0.0,8.8530467,0.79015917,0.0,25.13839669,0.18251157,-21.92282161,0.0,0.0,0.0,57.99413828
AT,11.12068571,0.03200273,13.328049429999998,0.17797633999999998,0.0147922,2.3359578699999997,9.963037739999999,0.88597299,0.04948028,10.87114616,0.09442315000000001,-12.149941420000001,0.02791954,0.0,0.0,13.390784799999993
BG,37.30645074,0.1351009,5.78044233,0.32284629000000004,0.05641974,3.08432143,2.88725718,0.713284,0.18266400000000002,8.3239579,0.045486809999999996,-15.09415156,0.01983452,0.0,0.0,19.81487603
EE,29.16997968,0.00551911,2.23450434,0.15392831,0.021786579999999996,0.0475399,1.33783018,0.10675165,0.55240204,0.96004583,0.013110450000000001,-1.54562365,0.00225179,0.0,0.0,2.463327620000004
GR,40.616710160000004,0.32341932,11.79305967,0.19894266000000002,1.8087091,0.51886311,4.653846720000001,2.47479,8.10571635,8.650198829999999,0.0604099,-2.1881114399999997,0.00022015,0.0,0.0,4.170477799999993
LV,6.1034787900000005,6.582e-05,2.4030587800000003,0.5367655499999999,0.00101445,2.83062707,1.20140656,0.22114512000000003,1.51548876,0.7167487300000001,0.36484213,-11.750803470000001,0.0005746600000000001,0.0,0.04039625,3.910677890000001
HU,17.896465659999997,0.00368169,7.8351915,0.5367822999999999,0.20933478,2.7570882,15.79803896,0.49668642,0.0,8.178742040000001,0.38474671,-2.5843594199999997,0.1208684,0.0,0.0,19.237832519999998
IE,10.87649,0.05113205,4.69042381,0.13319132,0.08489986999999999,2.2318502399999995,7.0518632,1.06953969,0.05677574,2.2475187,0.39950743,5.79015095,0.09061414999999999,0.0,0.0,3.894129499999999
SK,14.69003584,0.00373821,4.50302419,0.37228856,2.248e-05,4.1475092,7.162696850000001,0.06707624,0.06457655,8.309605090000002,0.05990361,-9.65224984,0.06695000000000001,0.0,0.0,22.54830006
LT,12.00294991,0.00815692,5.247150410000001,0.34997185999999997,0.01548548,3.0587539699999997,2.3614626199999997,0.39890928,0.3021744,3.4874970700000003,0.056301109999999994,-5.1965251100000005,0.00265932,0.0,0.0,8.49573366
HR,3.7517097299999995,0.006601010000000001,3.5058748600000005,0.14007851999999998,0.13438336999999997,0.85465183,2.0288430600000003,0.49661612000000005,0.14723118,2.63262412,0.05001973,-6.65362501,0.0005357,0.0,0.0,9.69279582
LU,0.03328747,0.00021483000000000003,2.52981023,0.02472309,0.0012936,0.63705362,0.6678896,0.38601731,7.787000000000001e-05,1.63018804,0.0005896,0.027013190000000003,0.0,0.0,0.0,5.90089605
SI,6.09561117,0.0010687899999999998,2.59970761,0.06519283000000001,0.0,0.50278621,0.80871372,0.04887583,0.0,1.1116340699999998,0.05266734,-4.26392946,0.0019954599999999997,0.0,0.0,3.786176720000001
CY,1.67577,0.026045000000000002,1.1673330000000002,0.0,0.002198,0.075212,0.299704,0.7180980000000001,0.18278799999999998,0.73054831,0.001815,-0.26778357999999997,0.0,0.0,0.0,-0.23645544000000018
MT,1.36127765,0.0011955,0.29987859,0.0,0.024792460000000002,0.16459605,0.0268123,0.19695695000000002,0.89491532,0.0052835,0.0,0.0029624200000000003,0.00037012,0.0,0.0,-1.03275729
